Year_,Country,ISO3,CPI_Score,Ranking
2019,Dominican Republic,DOM,28,137
2019,Paraguay,PRY,28,137
2019,Papua New Guinea,PNG,28,137
2019,Russia,RUS,28,137
2019,Lebanon,LBN,28,137
2019,Kenya,KEN,28,137
2019,Mauritania,MRT,28,137
2019,Uganda,UGA,28,137
2019,Iran,IRN,26,146
2019,Honduras,HND,26,146
2019,Guatemala,GTM,26,146
2019,Bangladesh,BGD,26,146
2019,Nigeria,NGA,26,146
2019,Mozambique,MOZ,26,146
2019,Angola,AGO,26,146
2019,Comoros,COM,25,153
2019,Cameroon,CMR,25,153
2019,Central African Republic,CAF,25,153
2019,Uzbekistan,UZB,25,153
2019,Tajikistan,TJK,25,153
2019,Madagascar,MDG,24,158
2019,Zimbabwe,ZWE,24,158
2019,Eritrea,ERI,23,160
2019,Nicaragua,NIC,22,161
2019,Cambodia,KHM,20,162
2019,Chad,TCD,20,162
2019,Iraq,IRQ,20,162
2019,Burundi,BDI,19,165
2019,Congo,COG,19,165
2019,Turkmenistan,TKM,19,165
2019,Haiti,HTI,18,168
2019,Democratic Republic of the Congo,COD,18,168
2019,Libya,LBY,18,168
2019,Guinea Bissau,GNB,18,168
2019,"Korea, North",PRK,17,172
2019,Venezuela,VEN,16,173
2019,Equatorial Guinea,GNQ,16,173
2019,Sudan,SDN,16,173
2019,Afghanistan,AFG,16,173
2019,Yemen,YEM,15,177
2019,Syria,SYR,13,178
2019,South Sudan,SSD,12,179
2019,Somalia,SOM,9,180
2018,New Zealand,NZL,87,2
2018,Denmark,DNK,88,1
2018,Finland,FIN,85,3
2018,Switzerland,CHE,85,3
2018,Singapore,SGP,85,3
2018,Sweden,SWE,85,3
2018,Norway,NOR,84,7
2018,Netherlands,NLD,82,8
2018,Luxembourg,LUX,81,9
2018,Germany,DEU,80,11
2018,Iceland,ISL,76,14
2018,Canada,CAN,81,9
2018,United Kingdom,GBR,80,11
2018,Australia,AUS,77,13
2018,Austria,AUT,76,14
2018,Hong Kong,HKG,76,14
2018,Belgium,BEL,75,17
2018,Ireland,IRL,73,18
2018,Estonia,EST,73,18
2018,Japan,JPN,73,18
2018,United Arab Emirates,ARE,70,23
2018,Uruguay,URY,70,23
2018,United States of America,USA,71,22
2018,France,FRA,72,21
2018,Bhutan,BTN,68,25
2018,Chile,CHL,67,27
2018,Seychelles,SYC,66,28
2018,Taiwan,TWN,63,31
2018,Bahamas,BHS,65,29
2018,Barbados,BRB,68,25
2018,Portugal,PRT,64,30
2018,Qatar,QAT,62,33
2018,Spain,ESP,58,41
2018,Botswana,BWA,61,34
2018,Brunei Darussalam,BRN,63,31
2018,Israel,ISR,61,34
2018,Slovenia,SVN,60,36
2018,Lithuania,LTU,59,38
2018,Saint Vincent and the Grenadines,VCT,58,41
2018,"Korea, South",KOR,57,45
2018,Poland,POL,60,36
2018,Cyprus,CYP,59,38
2018,Cabo Verde,CPV,57,45
2018,Costa Rica,CRI,56,48
2018,Latvia,LVA,58,41
2018,Czech Republic,CZE,59,38
2018,Georgia,GEO,58,41
2018,Dominica,DMA,57,45
2018,Saint Lucia,LCA,55,50
2018,Malta,MLT,54,51
2018,Rwanda,RWA,56,48
2018,Grenada,GRD,52,53
2018,Italy,ITA,52,53
2018,Saudi Arabia,SAU,49,58
2018,Malaysia,MYS,47,61
2018,Namibia,NAM,53,52
2018,Mauritius,MUS,51,56
2018,Oman,OMN,52,53
2018,Slovakia,SVK,50,57
2018,Jordan,JOR,49,58
2018,Greece,GRC,45,67
2018,Cuba,CUB,47,61
2018,Croatia,HRV,48,60
2018,Sao Tome and Principe,STP,46,64
2018,Vanuatu,VUT,46,64
2018,Montenegro,MNE,45,67
2018,Senegal,SEN,45,67
2018,Belarus,BLR,44,70
2018,Argentina,ARG,40,85
2018,Romania,ROU,47,61
2018,Hungary,HUN,46,64
2018,South Africa,ZAF,43,73
2018,Suriname,SUR,43,73
2018,Jamaica,JAM,44,70
2018,Bulgaria,BGR,42,77
2018,Tunisia,TUN,43,73
2018,Solomon Islands,SLB,44,70
2018,Bahrain,BHR,36,99
2018,Armenia,ARM,35,105
2018,China,CHN,39,87
2018,Morocco,MAR,43,73
2018,Ghana,GHA,41,78
2018,India,IND,41,78
2018,Benin,BEN,40,85
2018,Burkina Faso,BFA,41,78
2018,Lesotho,LSO,41,78
2018,Trinidad and Tobago,TTO,41,78
2018,Kuwait,KWT,41,78
2018,Guyana,GUY,37,93
2018,Indonesia,IDN,38,89
2018,Serbia,SRB,39,87
2018,Turkey,TUR,41,78
2018,Sri Lanka,LKA,38,89
2018,Timor-Leste,TLS,35,105
2018,Ecuador,ECU,34,114
2018,Colombia,COL,36,99
2018,Tanzania,TZA,36,99
2018,Ethiopia,ETH,34,114
2018,Vietnam,VNM,33,117
2018,Gambia,GMB,37,93
2018,Kosovo,KSV,37,93
2018,Bosnia and Herzegovina,BIH,38,89
2018,Panama,PAN,37,93
2018,Thailand,THA,36,99
2018,Peru,PER,35,105
2018,Albania,ALB,36,99
2018,Brazil,BRA,35,105
2018,Mongolia,MNG,37,93
2018,Cote d'Ivoire,CIV,35,105
2018,North Macedonia,MKD,37,93
2018,Algeria,DZA,35,105
2018,Egypt,EGY,35,105
2018,Eswatini,SWZ,38,89
2018,Zambia,ZMB,35,105
2018,Philippines,PHL,36,99
2018,El Salvador,SLV,35,105
2018,Kazakhstan,KAZ,31,124
2018,Nepal,NPL,31,124
2018,Sierra Leone,SLE,30,129
2018,Niger,NER,34,114
2018,Pakistan,PAK,33,117
2018,Moldova,MDA,33,117
2018,Bolivia,BOL,29,132
2018,Gabon,GAB,31,124
2018,Malawi,MWI,32,120
2018,Djibouti,DJI,31,124
2018,Azerbaijan,AZE,25,152
2018,Ukraine,UKR,32,120
2018,Kyrgyzstan,KGZ,29,132
2018,Maldives,MDV,31,124
2018,Togo,TGO,30,129
2018,Mali,MLI,32,120
2018,Myanmar,MMR,29,132
2018,Laos,LAO,29,132
2018,Mexico,MEX,28,138
2018,Guinea,GIN,28,138
2018,Liberia,LBR,32,120
2018,Dominican Republic,DOM,30,129
2018,Paraguay,PRY,29,132
2018,Papua New Guinea,PNG,28,138
2018,Russia,RUS,28,138
2018,Lebanon,LBN,28,138
2018,Kenya,KEN,27,144
2018,Mauritania,MRT,27,144
2018,Uganda,UGA,26,149
2018,Iran,IRN,28,138
2018,Honduras,HND,29,132
2018,Guatemala,GTM,27,144
2018,Bangladesh,BGD,26,149
2018,Nigeria,NGA,27,144
2018,Mozambique,MOZ,23,158
2018,Angola,AGO,19,165
2018,Comoros,COM,27,144
2018,Cameroon,CMR,25,152
2018,Central African Republic,CAF,26,149
2018,Uzbekistan,UZB,23,158
2018,Tajikistan,TJK,25,152
2018,Madagascar,MDG,25,152
2018,Zimbabwe,ZWE,22,160
2018,Eritrea,ERI,24,157
2018,Nicaragua,NIC,25,152
2018,Cambodia,KHM,20,161
2018,Chad,TCD,19,165
2018,Iraq,IRQ,18,168
2018,Burundi,BDI,17,170
2018,Congo,COG,19,165
2018,Turkmenistan,TKM,20,161
2018,Haiti,HTI,20,161
2018,Democratic Republic of the Congo,COD,20,161
2018,Libya,LBY,17,170
2018,Guinea Bissau,GNB,16,172
2018,"Korea, North",PRK,14,176
2018,Venezuela,VEN,18,168
2018,Equatorial Guinea,GNQ,16,172
2018,Sudan,SDN,16,172
2018,Afghanistan,AFG,16,172
2018,Yemen,YEM,14,176
2018,Syria,SYR,13,178
2018,South Sudan,SSD,13,178
2018,Somalia,SOM,10,180
2017,New Zealand,NZL,89,1
2017,Denmark,DNK,88,2
2017,Finland,FIN,85,3
2017,Switzerland,CHE,85,3
2017,Singapore,SGP,84,6
2017,Sweden,SWE,84,6
2017,Norway,NOR,85,3
2017,Netherlands,NLD,82,8
2017,Luxembourg,LUX,82,8
2017,Germany,DEU,81,12
2017,Iceland,ISL,77,13
2017,Canada,CAN,82,8
2017,United Kingdom,GBR,82,8
2017,Australia,AUS,77,13
2017,Austria,AUT,75,16
2017,Hong Kong,HKG,77,13
2017,Belgium,BEL,75,16
2017,Ireland,IRL,74,19
2017,Estonia,EST,71,21
2017,Japan,JPN,73,20
2017,United Arab Emirates,ARE,71,21
2017,Uruguay,URY,70,23
2017,United States of America,USA,75,16
2017,France,FRA,70,23
2017,Bhutan,BTN,67,26
2017,Chile,CHL,67,26
2017,Seychelles,SYC,60,36
2017,Taiwan,TWN,63,29
2017,Bahamas,BHS,65,28
2017,Barbados,BRB,68,25
2017,Portugal,PRT,63,29
2017,Qatar,QAT,63,29
2017,Spain,ESP,57,42
2017,Botswana,BWA,61,34
2017,Brunei Darussalam,BRN,62,32
2017,Israel,ISR,62,32
2017,Slovenia,SVN,61,34
2017,Lithuania,LTU,59,38
2017,Saint Vincent and the Grenadines,VCT,58,40
2017,"Korea, South",KOR,54,51
2017,Poland,POL,60,36
2017,Cyprus,CYP,57,42
2017,Cabo Verde,CPV,55,48
2017,Costa Rica,CRI,59,38
2017,Latvia,LVA,58,40
2017,Czech Republic,CZE,57,42
2017,Georgia,GEO,56,46
2017,Dominica,DMA,57,42
2017,Saint Lucia,LCA,55,48
2017,Malta,MLT,56,46
2017,Rwanda,RWA,55,48
2017,Grenada,GRD,52,52
2017,Italy,ITA,50,54
2017,Saudi Arabia,SAU,49,57
2017,Malaysia,MYS,47,62
2017,Namibia,NAM,51,53
2017,Mauritius,MUS,50,54
2017,Oman,OMN,44,68
2017,Slovakia,SVK,50,54
2017,Jordan,JOR,48,59
2017,Greece,GRC,48,59
2017,Cuba,CUB,47,62
2017,Croatia,HRV,49,57
2017,Sao Tome and Principe,STP,46,64
2017,Vanuatu,VUT,43,71
2017,Montenegro,MNE,46,64
2017,Senegal,SEN,45,66
2017,Belarus,BLR,44,68
2017,Argentina,ARG,39,85
2017,Romania,ROU,48,59
2017,Hungary,HUN,45,66
2017,South Africa,ZAF,43,71
2017,Suriname,SUR,41,77
2017,Jamaica,JAM,44,68
2017,Bulgaria,BGR,43,71
2017,Tunisia,TUN,42,74
2017,Solomon Islands,SLB,39,85
2017,Bahrain,BHR,36,103
2017,Armenia,ARM,35,107
2017,China,CHN,41,77
2017,Morocco,MAR,40,81
2017,Ghana,GHA,40,81
2017,India,IND,40,81
2017,Benin,BEN,39,85
2017,Burkina Faso,BFA,42,74
2017,Lesotho,LSO,42,74
2017,Trinidad and Tobago,TTO,41,77
2017,Kuwait,KWT,39,85
2017,Guyana,GUY,38,91
2017,Indonesia,IDN,37,96
2017,Serbia,SRB,41,77
2017,Turkey,TUR,40,81
2017,Sri Lanka,LKA,38,91
2017,Timor-Leste,TLS,38,91
2017,Ecuador,ECU,32,117
2017,Colombia,COL,37,96
2017,Tanzania,TZA,36,103
2017,Ethiopia,ETH,35,107
2017,Vietnam,VNM,35,107
2017,Gambia,GMB,30,130
2017,Kosovo,KSV,39,85
2017,Bosnia and Herzegovina,BIH,38,91
2017,Panama,PAN,37,96
2017,Thailand,THA,37,96
2017,Peru,PER,37,96
2017,Albania,ALB,38,91
2017,Brazil,BRA,37,96
2017,Mongolia,MNG,36,103
2017,Cote d'Ivoire,CIV,36,103
2017,North Macedonia,MKD,35,107
2017,Algeria,DZA,33,112
2017,Egypt,EGY,32,117
2017,Eswatini,SWZ,39,85
2017,Zambia,ZMB,37,96
2017,Philippines,PHL,34,111
2017,El Salvador,SLV,33,112
2017,Kazakhstan,KAZ,31,122
2017,Nepal,NPL,31,122
2017,Sierra Leone,SLE,30,130
2017,Niger,NER,33,112
2017,Pakistan,PAK,32,117
2017,Moldova,MDA,31,122
2017,Bolivia,BOL,33,112
2017,Gabon,GAB,32,117
2017,Malawi,MWI,31,122
2017,Djibouti,DJI,31,122
2017,Azerbaijan,AZE,31,122
2017,Ukraine,UKR,30,130
2017,Kyrgyzstan,KGZ,29,135
2017,Maldives,MDV,33,112
2017,Togo,TGO,32,117
2017,Mali,MLI,31,122
2017,Myanmar,MMR,30,130
2017,Laos,LAO,29,135
2017,Mexico,MEX,29,135
2017,Guinea,GIN,27,148
2017,Liberia,LBR,31,122
2017,Dominican Republic,DOM,29,135
2017,Paraguay,PRY,29,135
2017,Papua New Guinea,PNG,29,135
2017,Russia,RUS,29,135
2017,Lebanon,LBN,28,143
2017,Kenya,KEN,28,143
2017,Mauritania,MRT,28,143
2017,Uganda,UGA,26,151
2017,Iran,IRN,30,130
2017,Honduras,HND,29,135
2017,Guatemala,GTM,28,143
2017,Bangladesh,BGD,28,143
2017,Nigeria,NGA,27,148
2017,Mozambique,MOZ,25,153
2017,Angola,AGO,19,167
2017,Comoros,COM,27,148
2017,Cameroon,CMR,25,153
2017,Central African Republic,CAF,23,156
2017,Uzbekistan,UZB,22,157
2017,Tajikistan,TJK,21,161
2017,Madagascar,MDG,24,155
2017,Zimbabwe,ZWE,22,157
2017,Eritrea,ERI,20,165
2017,Nicaragua,NIC,26,151
2017,Cambodia,KHM,21,161
2017,Chad,TCD,20,165
2017,Iraq,IRQ,18,169
2017,Burundi,BDI,22,157
2017,Congo,COG,21,161
2017,Turkmenistan,TKM,19,167
2017,Haiti,HTI,22,157
2017,Democratic Republic of the Congo,COD,21,161
2017,Libya,LBY,17,171
2017,Guinea Bissau,GNB,17,171
2017,"Korea, North",PRK,17,171
2017,Venezuela,VEN,18,169
2017,Equatorial Guinea,GNQ,17,171
2017,Sudan,SDN,16,175
2017,Afghanistan,AFG,15,177
2017,Yemen,YEM,16,175
2017,Syria,SYR,14,178
2017,South Sudan,SSD,12,179
2017,Somalia,SOM,9,180
